Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Solomon Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syrian Arab Republic;667;60;1967;204;2;1091;51;0;21;0;297;12;2041262;31344167;27123401;40396668;64458336;63189921;77238334;169274998;57238334;17051434;216006584;209460001;92200003;100;170;0;0
Taiwan;238410004;431140003;1986650004;211764;1045240004;149239998;872080004;379730002;83389997;15064;259059969;256939971;322659977;319929962;200918133;41781033;52100394;3517425;571240921;645019823;654571292;728534024;800956493;726495411;716434419;970;1000;1000;1200
Tonga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2833;0,00667;98;3967;13288;0;0;0;0
Turkey;870002;1447;62770004;10349997;26610004;23270002;110149996;164849994;97600002;30430005;50465756;44349606;43548699;53145764;73458853;82730615;123426049;141433416;159767322;127829764;157757158;230225226;426528238;527597813;572867869;620;610;820;940
United Arab Emirates;153889999;160069999;106599998;25564;7,97E+15;196190002;289590007;360880001;36035;240449999;108679999;269479996;5886798;368600005;639840019;679126126;457084512;439694782;359106317;27184415;469099498;513922979;261026651;728652375;1446387098;1460;3500;4120;11520
Caribbean;127269998;7,246E+15;71580001;3,597E+16;28209994;20569998;655;51910001;44669998;31639998;33953333;6565;2,31234E+16;41372666;87377877;6,87628E+15;4,18447E+15;4,67864E+15;6,71747E+16;37545162;44437302;36295748;3,23127E+16;7,06988E+15;67145299;6,05012E+16;3807688;10;10
Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5157;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;0;0;0;0;0;0;0;0;0;0;3333;0;0;0;0;5913;5333;39;0;0,00167;42047;27178;102138;0;2824;27197;97154;0;0
Aruba;7267;833;25;0;0;0;0;0;0;0;108;3;237;589333;608399;78;3466;0;0;163713;563773;303228;3123;5633;114437;16258;3526063;10;0
Bahamas;0;0;2;0;0;819999;0;0;0;0;5;0;28334;2833333;208767;3574301;0;44981;137618;0;0,000009;3638208;0;0,000098;0;0;108;0;0
Barbados;49999;13;12;0;0;0;0;1;0;29999;0;0;0;8;17;507812;145513;61233;234023;657348;709367;4198;27774;1041;268179;364549;9233;0;0
Cayman Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominica;119998;419999;749998;629998;599997;6;329999;330001;69999;159999;7;14;57;46;4;31482;65;147333;30333;11;141162;61777;79875;805;100237;292;162;0;0
Grenada;16;53;0;0;0;0;0;0;0;0;0;0;0;0;26333;39333;46833;0;16667;1083333;0;0;235083;196733;84933;263667;1620741;0;0
